Variable,Description,Data Source,Response Level,N (%)
age_groups,Derrived Variable: Age Groups,Derrived Variable,80 to 84 years,11 (0.4)
age_groups,Derrived Variable: Age Groups,Derrived Variable,85 to 89 years,7 (0.3)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,Apprenticeship or trades certificate or diploma,169 (6.9)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,Bachelor's degree,510 (20.8)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,"College, CEGEP or other non-university certificate or diploma",519 (21.2)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,"Degree in medicine, dentistry, veterinary medicine or optometry",59 (2.4)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,Earned doctorate,58 (2.4)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,High School Diploma or Lower,312 (12.7)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,Master's degree,187 (7.6)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,University certificate or diploma above bachelor level,299 (12.2)
educational_attainment,Derrived Variable: Educational Attainment,Derrived Variable,University certificate or diploma below bachelor level,335 (13.7)
weightvec,Statistical Weights for Data,Derrived Variable,,1.00 (2.26)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,A0E,7 (0.9)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,A0G,3 (0.4)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,A1A,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,A1B,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,A1L,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,A1V,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0E,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0H,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0J,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0K,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0M,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0N,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0P,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0T,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0V,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B0W,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B1H,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B1R,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B2G,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B2H,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B2N,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B2W,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B2X,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B3A,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B3L,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B3P,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B3S,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B4C,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B4N,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,B4P,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,C0A,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,C1A,4 (0.5)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E1B,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E1C,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E1V,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E2A,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E2K,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E3A,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E3B,3 (0.4)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,E3L,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G0A,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G0L,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G0N,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G0S,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G0T,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G1C,2 (0.2)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G1H,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G1K,1 (0.1)
FSA,Forward Sortation Area (FSA) codes are the first three characters of a postal code.,Canadian Social Connection Survey,G1L,1 (0.1)
